nombre,dia_nacimiento,estado,pais,profesion,fase_luna
GLORIA TREVI,15-FEBRERO,MONTERREY,MÉXICO,CANTANTE,CUARTO CRECIENTE
GODOFREDO LEIBNIZ,1-JULIO,LEIPZIG,ALEMANIA,FILÓSOFO,LUNA LLENA
GRACE KELLY,12-NOVIEMBRE,"PHILADELPHIA,PENN.",USA,ACTRIZ,SEGUNDO CRECIENTE
GRAHAM GREENE,2-OCTUBRE,HERTFORFSHIRE,INGLATERRA,ESCRITOR,SEGUNDO MENGUANTE
GREGORY PECK,5-ABRIL,"LA JOLLA,CA",USA,ACTOR,PRIMER CRECIENTE
GRETA GARBO,18-SEPTIEMBRE,ESTOCOLMO,SUECIA,ACTRIZ,PRIMER MENGUANTE
HARRINSON FORD,13-JULIO,CHICAGO.ILLINOIS,USA,ACTOR,LUNA NUEVA
HARRY HOUDINI,24-MARZO,BUDAPEST,HUNGRÍA,MAGO,CUARTO CRECIENTE
HARRY S. TRUMAN,8-MAYO,"LAMAR,MISSOURI",USA,POLÍTICO,LUNA LLENA
HART CRANE,21-JULIO,"GARRETSVILLE,OHIO",USA,ESCRITOR,SEGUNDO CRECIENTE
HEINRICH BOLL,21-DICIEMBRE,COLOGNE,ALEMANIA,ESCRITOR,CUARTO CRECIENTE
HELEN HUNT,15-JUNIO,"LOS ANGELES,CA",USA,ACTRIZ,SEGUNDO MENGUANTE
HELMUT KOHL,3-ABRIL,LUDWIGSHAFEN,ALEMANIA,POLÍTICO,PRIMER CRECIENTE
HENRI DE SAINT SIMON,17-OCTUBRE,PARÍS,FRANCIA,FILÓSOFO,CUARTO CRECIENTE
HENRI FORD,30-JULIO,"GREENFIELD ,MICHIGAN",USA,INVENTOR,LUNA LLENA
HENRY KISSINGER,27-MAYO,FURTH,ALEMANIA,POLÍTICO,SEGUNDO CRECIENTE
HERBERT MARCUSE,19-JULIO,BERLÍN,ALEMANIA,FILÓSOFO,LUNA NUEVA
HERBERT SPENCER,27-ABRIL,DERBY,INGLATERRA,FILÓSOFO,LUNA LLENA
HERMAN MELVILLE,1-AGOSTO,"NEW YORK,NY",USA,ESCRITOR,SEGUNDO CRECIENTE
HERMANN HESSE,2-JULIO,"CALW, SELVA NEGRA",ALEMANIA,ESCRITOR,CUARTO MENGUANTE
HONORATO BALZAC,20-MAYO,TOUR,FRANCIA,ESCRITOR,LUNA LLENA
